ID,Other ID,Name,Type,Distance (kly),Constellation,Mag,RA,DEC
M86,NGC 4406,,gal-S0,49000-55000,Virgo,9.8,186.5492,12.946
M87,NGC 4486,Virgo A,gal-E,51870-55130,Virgo,9.6,187.7059,12.3911
M88,NGC 4501,,gal-S,39000-56000,Coma Berenices,10.4,187.9967,14.4204
M89,NGC 4552,,gal-E,47000-53000,Virgo,10.7,188.9159,12.5563
M90,NGC 4569,,gal-S,55900-61500,Virgo,10.3,189.2076,13.1629
M91,NGC 4548,,gal-SB,47000-79000,Coma Berenices,11,188.8601,14.4963
M92,NGC 6341,,cl-G,26.7,Hercules,6.3,259.2808,43.1359
M93,NGC 2447,,cl-O,3.6,Puppis,6,116.125,-23.8567
M94,NGC 4736,Croc's Eye / Cat's Eye,gal-S,14700-17300,Canes Venatici,9,192.7215,41.1202
M95,NGC 3351,,gal-SB,31200-34000,Leo,11.4,160.9904,11.7038
M96,NGC 3368,,gal-S,28000-34000,Leo,10.1,161.6906,11.8199
M97,NGC 3587,Owl Nebula,Neb-P,2.03,Ursa Major,9.9,168.6988,55.019
M98,NGC 4192,,gal-S,44400,Coma Berenices,11,183.4512,14.9005
M99,NGC 4254,,gal-S,44700-55700,Coma Berenices,10.4,184.7068,14.4165
M100,NGC 4321,,gal-S,55000,Coma Berenices,10.1,185.7289,15.8223
M101,NGC 5457,Pinwheel Galaxy,gal-S,19100-22400,Ursa Major,7.9,210.8024,54.3488
M102,NGC 5866,Spindle Galaxy,gal-S0,50000,Draco,10.7,226.6232,55.7633
M103,NGC 581,,cl-O,10,Cassiopeia,7.4,23.3458,60.65
M104,NGC 4594,Sombrero Galaxy,gal-S,28700-30900,Virgo,9,189.9976,-11.6231
M105,NGC 3379,,gal-E,30400-33600,Leo,10.2,161.9567,12.5816
M106,NGC 4258,,gal-S,22200-25200,Canes Venatici,9.1,184.7401,47.3037
M107,NGC 6171,,cl-G,20.9,Ophiuchus,8.9,248.1327,-13.0538
M108,NGC 3556,,gal-SB,46000,Ursa Major,10.7,167.879,55.6741
M109,NGC 3992,,gal-SB,59500-107500,Ursa Major,10.6,179.3999,53.3745
M110,NGC 205,,gal-dE,2600-2780,Andromeda,9,10.0919,41.6854
C1,NGC 188,,cl-O,4.8,Cepheus,8.1,12.1083,85.255
C2,NGC 40,Bow-Tie Nebula,Neb-P,3.5,Cepheus,11,3.2542,72.522
C3,NGC 4236,,gal-SB,7000,Draco,9.7,184.1755,69.4626
C4,NGC 7023,Iris Nebula,cl-O & Neb,1.4,Cepheus,7,315.4038,68.1633
C5,IC 342,Hidden Galaxy ,gal-S,10000,Camelopardalis,9,56.7021,68.0961
C6,NGC 6543,Cat's Eye Nebula,Neb-P,3,Draco,9,269.6392,66.633
C7,NGC 2403,,gal-S,14000,Camelopardalis,8.4,114.2142,65.6025
C8,NGC 559,,cl-O,3.7,Cassiopeia,9.5,22.38,63.302
C9,Sh2-155,Cave Nebula,Neb,2.8,Cepheus,7.7,344.2746,62.6359
C10,NGC 663,,cl-O,7.2,Cassiopeia,7.1,26.5375,61.235
C11,NGC 7635,Bubble Nebula,Neb,7.1,Cassiopeia,10,350.2013,61.2017
C12,NGC 6946,Fireworks Galaxy,gal-S,18000,Cepheus,8.9,308.7181,60.1537
C13,NGC 457,Owl Cluster / E.T. Cluster,cl-O,-,Cassiopeia,6.4,19.8958,58.2867
C14,NGC 869 & NGC 884,Double Cluster / h & χ Persei,cl-O,7.3,Perseus,4,34.75,57.1283
C15,NGC 6826,Blinking Planetary,Neb-P,2.2,Cygnus,10,296.2006,50.5251
C16,NGC 7243,,cl-O,2.5,Lacerta,6.4,333.7833,49.8983
C17,NGC 147,,gal-dSph,2300,Cassiopeia,9.3,8.3005,48.5087
C18,NGC 185,,gal-dSph,2300,Cassiopeia,9.2,9.7415,48.3374
C19,IC 5146,Cocoon Nebula,cl-O & Neb,3.3,Cygnus,7.2,328.35,47.2667
C20,NGC 7000,North America Nebula,Neb,2.6,Cygnus,4,314.6958,44.33
C21,NGC 4449,,gal-Irr,10000,Canes Venatici,9.4,187.0463,44.0936
C22,NGC 7662,Blue Snowball,Neb-P,3.2,Andromeda,9,351.4733,42.535
C23,NGC 891,Silver Sliver Galaxy,gal-S,31000,Andromeda,10,35.6371,42.3483
C24,NGC 1275,Perseus A,gal-cD,230000,Perseus,11.6,49.9507,41.5117
C25,NGC 2419,,cl-G,275,Lynx,10.4,114.5355,38.8819
C26,NGC 4244,,gal-S,10000,Canes Venatici,10.2,184.3736,37.8071
C27,NGC 6888,Crescent Nebula,Neb,4.7,Cygnus,7.4,303.0292,38.355
C28,NGC 752,,cl-O,1.2,Andromeda,5.7,29.4208,37.785
C29,NGC 5005,,gal-S,69000,Canes Venatici,9.8,197.7346,37.0589
C30,NGC 7331,,gal-S,47000,Pegasus,9.5,339.2671,34.4159
C31,IC 405,Flaming Star Nebula,Neb,1.6,Auriga,13,79.35,34.3833
C32,NGC 4631,Whale Galaxy,gal-SB,22000,Canes Venatici,9.3,190.5334,32.5415
C33,NGC 6992,East Veil Nebula,Neb-SN,2.5,Cygnus,7,314.0792,31.7433
C34,NGC 6960,West Veil Nebula,Neb-SN,2.5,Cygnus,7,311.4083,30.7083
C35,NGC 4889,Coma B,gal-cD,300000,Coma Berenices,11.4,195.0337,27.977
C36,NGC 4559,,gal-S,32000,Coma Berenices,9.9,188.9902,27.96
C37,NGC 6885,,cl-O,1.95,Vulpecula,6,303.0042,26.4783
C38,NGC 4565,Needle Galaxy,gal-S,32000,Coma Berenices,9.6,189.0867,25.9874
C39,NGC 2392,Eskimo Nebula/Clown Face Nebula,Neb-P,4,Gemini,10,112.2949,20.9118
C40,NGC 3626,,gal-S0,86000,Leo,10.9,170.0158,18.3568
C41,Mel 25,Hyades,cl-O,0.151,Taurus,0.5,66.725,15.8667
C42,NGC 7006,,cl-G,135,Delphinus,10.6,315.3728,16.1879
C43,NGC 7814,,gal-S,49000,Pegasus,10.5,0.8123,16.1452
C44,NGC 7479,,gal-SB,106000,Pegasus,11,346.2361,12.3229
C45,NGC 5248,,gal-S,74000,Boötes,10.2,204.3836,8.8851
C46,NGC 2261,Hubble's Variable Nebula,Neb,2.5,Monoceros,,99.7915,8.736
C47,NGC 6934,,cl-G,57,Delphinus,8.9,308.5474,7.4045
C48,NGC 2775,,gal-S,55000,Cancer,10.3,137.5838,7.0379
C49,NGC 2237,Rosette Nebula,Neb,4.9,Monoceros,9,97.6504,4.9807
C50,NGC 2244,Satellite Cluster,cl-O,4.9,Monoceros,4.8,97.9792,4.9417
C51,IC 1613,,gal-Irr,2300,Cetus,9.3,16.2258,2.1333
C52,NGC 4697,,gal-E,76000,Virgo,9.3,192.1496,-5.8007
C53,NGC 3115,Spindle Galaxy,gal-S0,22000,Sextans,9.2,151.3082,-7.7186
C54,NGC 2506,,cl-O,10,Monoceros,7.6,120.0042,-10.77
C55,NGC 7009,Saturn Nebula,Neb-P,1.4,Aquarius,8,316.0451,-11.3635
C56,NGC 246,Skull Nebula,Neb-P,1.6,Cetus,8,11.7639,-11.8719
C57,NGC 6822,Barnard's Galaxy,gal-IrrB,2300,Sagittarius,9,296.2342,-14.7976
C58,NGC 2360,Caroline's Cluster,cl-O,3.7,Canis Major,7.2,109.4292,-15.6417
C59,NGC 3242,Ghost of Jupiter,Neb-P,1.4,Hydra,9,156.1922,-18.6423
C60,NGC 4038,Antennae Galaxies,gal-Inter,83000,Corvus,10.7,180.4708,-18.8676
C61,NGC 4039,Antennae Galaxies,gal-Inter,83000,Corvus,13,180.4742,-18.885
C62,NGC 247,,gal-S,6800,Cetus,8.9,11.7856,-20.7604
C63,NGC 7293,Helix Nebula,Neb-P,0.522,Aquarius,7.3,337.4106,-20.8372
C64,NGC 2362,Tau Canis Majoris Cluster,cl-O & NGC 6729,5.1,Canis Major,4.1,109.6708,-24.955
C65,NGC 253,Sculptor Galaxy,gal-S,9800,Sculptor,7.1,11.8881,-25.2888
C66,NGC 5694,,cl-G,113,Hydra,10.2,219.9022,-26.5383
C67,NGC 1097,,gal-SB,47000,Fornax,9.3,41.5794,-30.2749
C68,NGC 6729,R CrA Nebula,Neb,0.424,Corona Australis,-,285.4433,-36.9611
C69,NGC 6302,Bug Nebula,Neb-P,5.2,Scorpius,13,258.4347,-37.103
C70,NGC 300,,gal-S,3900,Sculptor,9,13.7227,-37.6842
C71,NGC 2477,,cl-O,3.7,Puppis,5.8,118.0417,-38.53
C72,NGC 55,,gal-SB,4200,Sculptor,8,3.7233,-39.1966
C73,NGC 1851,,cl-G,39.4,Columba,7.3,78.5282,-40.0466
C74,NGC 3132,Eight Burst Nebula,Neb-P,2,Vela,8,151.7574,-40.4364
C75,NGC 6124,,cl-O,1.5,Scorpius,5.8,246.3333,-40.6533
C76,NGC 6231,,cl-O & Neb,6,Scorpius,2.6,253.5355,-41.8267
C77,NGC 5128,Centaurus A,gal-E or gal-S0,16000,Centaurus,7,201.3651,-43.0191
C78,NGC 6541,,cl-G,22.3,Corona Australis,6.6,272.0098,-43.7149
C79,NGC 3201,,cl-G,17,Vela,6.8,154.4034,-46.4125
C80,NGC 5139,Omega Centauri,cl-G,17.3,Centaurus,3.7,201.697,-47.4795
C81,NGC 6352,,cl-G,18.6,Ara,8.2,261.3713,-48.4222
C82,NGC 6193,,cl-O,4.3,Ara,5.2,250.3333,-48.7633
C83,NGC 4945,,gal-SB,17000,Centaurus,9,196.3637,-49.4679
C84,NGC 5286,,cl-G,36,Centaurus,7.6,206.6117,-51.3743
C85,IC 2391,Omicron Velorum Cluster,cl-O,0.5,Vela,2.5,130.1333,-53.0333
C86,NGC 6397,,cl-G,7.5,Ara,5.7,265.1754,-53.6743
C87,NGC 1261,,cl-G,55.5,Horologium,8.4,48.0675,-55.2162
C88,NGC 5823,,cl-O,3.4,Circinus,7.9,226.38,-55.595
C89,NGC 6087,S Normae Cluster,cl-O,3.3,Norma,5.4,244.7083,-57.935
C90,NGC 2867,,Neb-P,5.5,Carina,10,140.3558,-58.3113
C91,NGC 3532,Wishing Well Cluster,cl-O,1.6,Carina,3,166.4125,-58.7533
C92,NGC 3372,Eta Carinae Nebula,Neb,7.5,Carina,3,161.2593,-59.6999
C93,NGC 6752,Great Peacock Globular ,cl-G,13,Pavo,5.4,287.7171,-59.9846
C94,NGC 4755,Jewel Box,cl-O,4.9,Crux,4.2,193.4125,-60.3617
C95,NGC 6025,,cl-O,2.5,Triangulum Australe,5.1,240.8208,-60.4317
C96,NGC 2516,Southern Beehive Cluster,cl-O,1.3,Carina,3.8,119.5167,-60.7533
C97,NGC 3766,Pearl Cluster,cl-O,5.8,Centaurus,5.3,174.075,-61.615
C98,NGC 4609,,cl-O,4.2,Crux,6.9,190.575,-62.995
C99,TGU H1867,Coalsack Nebula,Dark Neb,0.61,Crux,-,187.875,-63.75
C100,IC 2944,Lambda Centauri Nebula,cl-O & Neb,6,Centaurus,4.5,174.5833,-63.3728
C101,NGC 6744,,gal-S,34000,Pavo,9,287.4421,-63.8575
C102,IC 2602,Theta Car Cluster,cl-O,0.492,Carina,1.9,160.7417,-64.4
C103,NGC 2070,Tarantula Nebula,cl-O & Neb,170,Dorado,8.2,84.675,-69.1
C104,NGC 362,,cl-G,27.7,Tucana,6.6,15.8094,-70.8488
C105,NGC 4833,,cl-G,19.6,Musca,7.4,194.8913,-70.8765
C106,NGC 104,47 Tucanae,cl-G,14.7,Tucana,4,6.0223,-72.0814
C107,NGC 6101,,cl-G,49.9,Apus,9.3,246.4505,-72.2022
C108,NGC 4372,,cl-G,18.9,Musca,7.8,186.4393,-72.6591
C109,NGC 3195,,Neb-P,5.4,Chamaeleon,11.6,152.3371,-80.8585
