ID,Other ID,Name,Type,Distance (kly),Constellation,Mag
M91,NGC 4548,,gal-SB,47000-79000,Coma Berenices,11.0
M92,NGC 6341,,cl-G,26.7,Hercules,6.3
M93,NGC 2447,,cl-O,3.6,Puppis,6.0
M94,NGC 4736,Croc's Eye / Cat's Eye,gal-S,14700-17300,Canes Venatici,9.0
M95,NGC 3351,,gal-SB,31200-34000,Leo,11.4
M96,NGC 3368,,gal-S,28000-34000,Leo,10.1
M97,NGC 3587,Owl Nebula,Neb-P,2.03,Ursa Major,9.9
M98,NGC 4192,,gal-S,44400,Coma Berenices,11.0
M99,NGC 4254,,gal-S,44700-55700,Coma Berenices,10.4
M100,NGC 4321,,gal-S,55000,Coma Berenices,10.1
M101,NGC 5457,Pinwheel Galaxy,gal-S,19100-22400,Ursa Major,7.9
M102,NGC 5866,Spindle Galaxy,gal-S0,50000,Draco,10.7
M103,NGC 581,,cl-O,10,Cassiopeia,7.4
M104,NGC 4594,Sombrero Galaxy,gal-S,28700-30900,Virgo,9.0
M105,NGC 3379,,gal-E,30400-33600,Leo,10.2
M106,NGC 4258,,gal-S,22200-25200,Canes Venatici,9.1
M107,NGC 6171,,cl-G,20.9,Ophiuchus,8.9
M108,NGC 3556,,gal-SB,46000,Ursa Major,10.7
M109,NGC 3992,,gal-SB,59500-107500,Ursa Major,10.6
M110,NGC 205,,gal-dE,2600-2780,Andromeda,9.0
C1,NGC 188,,cl-O,4.8,Cepheus,8.1
C2,NGC 40,Bow-Tie Nebula,Neb-P,3.5,Cepheus,11
C3,NGC 4236,,gal-SB,7000,Draco,9.7
C4,NGC 7023,Iris Nebula,cl-O & Neb,1.4,Cepheus,7
C5,IC 342,"Hidden Galaxy ",gal-S,10000,Camelopardalis,9
C6,NGC 6543,Cat's Eye Nebula,Neb-P,3,Draco,9
C7,NGC 2403,,gal-S,14000,Camelopardalis,8.4
C8,NGC 559,,cl-O,3.7,Cassiopeia,9.5
C9,Sh2-155,Cave Nebula,Neb,2.8,Cepheus,7.7
C10,NGC 663,,cl-O,7.2,Cassiopeia,7.1
C11,NGC 7635,Bubble Nebula,Neb,7.1,Cassiopeia,10
C12,NGC 6946,Fireworks Galaxy,gal-S,18000,Cepheus,8.9
C13,NGC 457,Owl Cluster / E.T. Cluster,cl-O,-,Cassiopeia,6.4
C14,NGC 869 & NGC 884,Double Cluster / h & χ Persei,cl-O,7.3,Perseus,4
C15,NGC 6826,Blinking Planetary,Neb-P,2.2,Cygnus,10
C16,NGC 7243,,cl-O,2.5,Lacerta,6.4
C17,NGC 147,,gal-dSph,2300,Cassiopeia,9.3
C18,NGC 185,,gal-dSph,2300,Cassiopeia,9.2
C19,IC 5146,Cocoon Nebula,cl-O & Neb,3.3,Cygnus,7.2
C20,NGC 7000,North America Nebula,Neb,2.6,Cygnus,4
C21,NGC 4449,,gal-Irr,10000,Canes Venatici,9.4
C22,NGC 7662,Blue Snowball,Neb-P,3.2,Andromeda,9
C23,NGC 891,Silver Sliver Galaxy,gal-S,31000,Andromeda,10
C24,NGC 1275,Perseus A,gal-cD,230000,Perseus,11.6
C25,NGC 2419,,cl-G,275,Lynx,10.4
C26,NGC 4244,,gal-S,10000,Canes Venatici,10.2
C27,NGC 6888,Crescent Nebula,Neb,4.7,Cygnus,7.4
C28,NGC 752,,cl-O,1.2,Andromeda,5.7
C29,NGC 5005,,gal-S,69000,Canes Venatici,9.8
C30,NGC 7331,,gal-S,47000,Pegasus,9.5
C31,IC 405,Flaming Star Nebula,Neb,1.6,Auriga,13
C32,NGC 4631,Whale Galaxy,gal-SB,22000,Canes Venatici,9.3
C33,NGC 6992,East Veil Nebula,Neb-SN,2.5,Cygnus,7
C34,NGC 6960,West Veil Nebula,Neb-SN,2.5,Cygnus,7
C35,NGC 4889,Coma B,gal-cD,300000,Coma Berenices,11.4
C36,NGC 4559,,gal-S,32000,Coma Berenices,9.9
C37,NGC 6885,,cl-O,1.95,Vulpecula,6
C38,NGC 4565,Needle Galaxy,gal-S,32000,Coma Berenices,9.6
C39,NGC 2392,Eskimo Nebula/Clown Face Nebula,Neb-P,4,Gemini,10
C40,NGC 3626,,gal-S0,86000,Leo,10.9
C41,Mel 25,Hyades,cl-O,0.151,Taurus,0.5
C42,NGC 7006,,cl-G,135,Delphinus,10.6
C43,NGC 7814,,gal-S,49000,Pegasus,10.5
C44,NGC 7479,,gal-SB,106000,Pegasus,11
C45,NGC 5248,,gal-S,74000,Boötes,10.2
C46,NGC 2261,Hubble's Variable Nebula,Neb,2.5,Monoceros
C47,NGC 6934,,cl-G,57,Delphinus,8.9
C48,NGC 2775,,gal-S,55000,Cancer,10.3
C49,NGC 2237,Rosette Nebula,Neb,4.9,Monoceros,9.0
C50,NGC 2244,"Satellite Cluster",cl-O,4.9,Monoceros,4.8
C51,IC 1613,,gal-Irr,2300,Cetus,9.3
C52,NGC 4697,,gal-E,76000,Virgo,9.3
C53,NGC 3115,Spindle Galaxy,gal-S0,22000,Sextans,9.2
